publicid,eventtype,datetime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2017p380023,,2017-05-21T14:36:16.393Z,2017-05-21T14:38:03.675Z,176.8939113,-39.86765653,2.13009623,19.296875,M,,NonLinLoc,,automatic,nz3drx,22,22,12,0.07252656631,180.9935534,0.4388482636,0
2017p380015,,2017-05-21T14:32:18.967Z,2017-05-21T14:34:20.591Z,171.8868948,-42.67322365,1.742742221,10.15625,M,,NonLinLoc,,automatic,nz3drx,12,12,3,0.3039267257,94.41159614,0.6974322213,0
2017p379946,,2017-05-21T13:55:24.700Z,2017-05-21T13:57:31.799Z,171.8681729,-42.67268177,2.256510224,10.15625,M,,NonLinLoc,,automatic,nz3drx,22,22,6,0.3151403636,95.74446037,1.130765216,0
2017p379941,,2017-05-21T13:52:46.959Z,2017-05-21T13:58:14.287Z,176.0061872,-38.94985101,2.023143601,109.0625,M,,NonLinLoc,,automatic,nz3drx,38,38,11,0.2915625147,83.8164331,1.384175076,0
2017p379928,,2017-05-21T13:46:17.394Z,2017-05-21T13:48:17.725Z,178.5283254,-37.60134238,1.98246653,19.0625,M,,NonLinLoc,,automatic,nz3drx,10,10,3,0.1779600068,267.7539667,0.7640629565,0
2017p379862,earthquake,2017-05-21T13:10:54.390Z,2017-05-21T18:48:08.251Z,175.8070984,-38.87553787,1.34117059,2.39207077,M,,LOCSAT,confirmed,manual,iasp91,13,13,6,0.02872055955,156.5768828,0.06696185265,0
2017p379860,,2017-05-21T13:09:49.348Z,2017-05-21T13:12:08.466Z,173.170542,-41.19314926,2.266814013,125.9375,M,,NonLinLoc,,automatic,nz3drx,23,23,10,0.1588052442,102.1097535,0.9180955686,0
2017p379856,earthquake,2017-05-21T13:07:28.264Z,2017-05-21T21:11:15.657Z,174.4128723,-41.70202255,2.86440407,11.50894737,M,,LOCSAT,confirmed,manual,iasp91,27,19,14,0.1562247872,143.6780701,0.7894725317,0
2017p379852,,2017-05-21T13:05:29.961Z,2017-05-21T13:07:54.853Z,173.1879171,-42.84772115,2.700454969,12.03125,M,,NonLinLoc,,automatic,nz3drx,15,15,6,0.1639909299,173.2046335,0.5813076212,0
2017p379844,,2017-05-21T13:01:06.762Z,2017-05-21T13:02:26.383Z,174.2776191,-41.62795763,1.879112585,12.03125,M,,NonLinLoc,,automatic,nz3drx,10,10,1,0.1322409589,127.9260477,0.2648606627,0
2017p379820,,2017-05-21T12:48:34.168Z,2017-05-21T12:50:38.298Z,172.4960184,-42.7935301,2.199260028,10.390625,M,,NonLinLoc,,automatic,nz3drx,13,13,3,0.1654923591,58.37337001,0.5059467607,0
2017p379813,earthquake,2017-05-21T12:44:39.223Z,2017-05-22T00:28:08.870Z,177.1674805,-38.34246445,2.835599376,32.04569244,M,,LOCSAT,confirmed,manual,iasp91,75,70,47,0.09425708652,38.64039266,0.52981001,0
2017p379766,,2017-05-21T12:19:34.975Z,2017-05-21T12:53:31.703Z,176.8035473,-38.21261537,2.243799368,62.65625,M,,NonLinLoc,,automatic,nz3drx,35,35,18,0.2442154674,86.3897623,0.6627731612,0
2017p379760,earthquake,2017-05-21T12:16:33.033Z,2017-05-21T18:48:56.673Z,175.7177734,-38.91608047,0.7626076743,1.893785596,M,,LOCSAT,confirmed,manual,iasp91,7,7,2,0.06139710918,194.0247154,0.08727724604,0
2017p379735,,2017-05-21T12:03:15.162Z,2017-05-21T12:04:42.948Z,176.4495443,-40.77175875,1.753354079,15.78125,M,,NonLinLoc,,automatic,nz3drx,12,12,7,0.1757711536,226.4620721,0.5008658014,0
2017p379699,earthquake,2017-05-21T11:43:48.301Z,2017-05-21T18:49:53.016Z,175.6900024,-38.89719009,1.088188251,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,8,8,4,0.07107951492,195.9977493,0.05102074286,0
2017p379629,earthquake,2017-05-21T11:06:25.490Z,2017-05-21T21:02:08.745Z,178.6690369,-36.10944366,3.73723002,142.1860352,M,,LOCSAT,confirmed,manual,iasp91,20,14,10,1.478904486,323.9302216,0.5775276936,0
2017p379595,,2017-05-21T10:48:33.498Z,2017-05-21T10:50:50.191Z,177.3122622,-37.65014564,2.19283893,45.3125,M,,NonLinLoc,,automatic,nz3drx,14,14,7,0.3822017276,213.9822516,0.7006659446,0
2017p379528,,2017-05-21T10:12:56.751Z,2017-05-21T10:25:37.386Z,176.7662858,-39.9637962,2.081833415,5.234375,M,,NonLinLoc,,automatic,nz3drx,33,33,18,0.09827080909,105.7085081,0.6063724287,0
